lambda_exact,lambda_min,epsilon_exact,p_one_use_exact_rational,p_one_use,p_one_use_lower,p_one_use_upper,p_rep,p_rep_lower,p_rep_upper,gap,gap_lower,gap_upper,asymptote_slope_exact,linear_asymptote,linear_asymptote_lower,linear_asymptote_upper,exact_one_use_domain,geometry,full_span,all_code_capacity_boundary
9/1000,0.009,1/10,3107/4232,0.73416824196597353,0.734168241965973534971644612476370510396975425330812854442344,0.734168241965973534971644612476370510396975425330812854442345,0.73473156146761541,0.734731561467615405958537318674255832431715958011365196672885,0.734731561467615405958537318674255832431715958011365196672886,0.00056331950164187099,0.000563319501641870986892706197885322034740532680552342230541,0.000563319501641870986892706197885322034740532680552342230542,18/289,0.00056055363321799308,0.000560553633217993079584775086505190311418685121107266435986,0.000560553633217993079584775086505190311418685121107266435987,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
19/2000,0.0095,1/10,3106/4231,0.73410541243204916,0.734105412432049160954857007799574568659891278657527771212479,0.734105412432049160954857007799574568659891278657527771212480,0.73470019039742491,0.734700190397424905147067606841289128453294355419231923023022,0.734700190397424905147067606841289128453294355419231923023023,0.00059477796537574419,0.000594777965375744192210599041714559793403076761704151810543,0.000594777965375744192210599041714559793403076761704151810544,18/289,0.00059169550173010381,0.000591695501730103806228373702422145328719723183391003460207,0.000591695501730103806228373702422145328719723183391003460208,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
1/100,0.01,1/10,69/94,0.73404255319148936,0.734042553191489361702127659574468085106382978723404255319148,0.734042553191489361702127659574468085106382978723404255319149,0.73466880685409626,0.734668806854096257370786862754625399488389287552217211028390,0.734668806854096257370786862754625399488389287552217211028391,0.00062625366260689567,0.000626253662606895668659203180157314382006308828812955709241,0.000626253662606895668659203180157314382006308828812955709242,18/289,0.00062283737024221453,0.000622837370242214532871972318339100346020761245674740484429,0.000622837370242214532871972318339100346020761245674740484430,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
21/2000,0.0105,1/10,3104/4229,0.73397966422322062,0.733979664223220619531804209032868290375975407897848191061716,0.733979664223220619531804209032868290375975407897848191061717,0.73463741082896797,0.734637410828967965308701418850521584177193272447655411541860,0.734637410828967965308701418850521584177193272447655411541861,0.00065774660574734578,0.000657746605747345776897209817653293801217864549807220480144,0.000657746605747345776897209817653293801217864549807220480145,18/289,0.00065397923875432526,0.000653979238754325259515570934256055363321799307958477508650,0.000653979238754325259515570934256055363321799307958477508651,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
11/1000,0.011,1/10,3103/4228,0.73391674550614948,0.733916745506149479659413434247871333964049195837275307473982,0.733916745506149479659413434247871333964049195837275307473983,0.73460600231336988,0.734606002313369882473556102128488637232026845172068236094605,0.734606002313369882473556102128488637232026845172068236094606,0.00068925680722040281,0.000689256807220402814142667880617303267977649334792928620622,0.000689256807220402814142667880617303267977649334792928620623,18/289,0.00068512110726643599,0.000685121107266435986159169550173010380622837370242214532871,0.000685121107266435986159169550173010380622837370242214532872,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
23/2000,0.0115,1/10,1034/1409,0.73385379701916253,0.733853797019162526614620298083747338537970191625266146202980,0.733853797019162526614620298083747338537970191625266146202981,0.73457458129862320,0.734574581298623201907723868913742956041597752563596958065407,0.734574581298623201907723868913742956041597752563596958065408,0.00072078427946067529,0.000720784279460675293103570829995617503627560938330811862426,0.000720784279460675293103570829995617503627560938330811862427,18/289,0.00071626297577854671,0.000716262975778546712802768166089965397923875432525951557093,0.000716262975778546712802768166089965397923875432525951557094,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
3/250,0.012,1/10,3101/4226,0.73379081874112636,0.733790818741126360624704212020823473734027449124467581637482,0.733790818741126360624704212020823473734027449124467581637483,0.73454314777604044,0.734543147776040444860803712802249249078883158793521108620533,0.734543147776040444860803712802249249078883158793521108620534,0.00075232903491408424,0.000752329034914084236099500781425775344855709669053526983051,0.000752329034914084236099500781425775344855709669053526983052,18/289,0.00074740484429065744,0.000747404844290657439446366782006920415224913494809688581314,0.000747404844290657439446366782006920415224913494809688581315,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
1/80,0.0125,1/10,124/169,0.73372781065088757,0.733727810650887573964497041420118343195266272189349112426035,0.733727810650887573964497041420118343195266272189349112426036,0.73451170173692545,0.734511701736925449448891517621373446408452623654878349240264,0.734511701736925449448891517621373446408452623654878349240265,0.00078389108603787548,0.000783891086037875484394476201255103213186351465529236814228,0.000783891086037875484394476201255103213186351465529236814229,18/289,0.00077854671280276817,0.000778546712802768166089965397923875432525951557093425605536,0.000778546712802768166089965397923875432525951557093425605537,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
13/1000,0.013,1/10,1033/1408,0.73366477272727273,0.733664772727272727272727272727272727272727272727272727272727,0.733664772727272727272727272727272727272727272727272727272728,0.73448024317257336,0.734480243172573359295488447886133242843863619637780768335292,0.734480243172573359295488447886133242843863619637780768335293,0.00081547044530063202,0.000815470445300632022761175158860515571136346910508041062564,0.000815470445300632022761175158860515571136346910508041062565,18/289,0.00080968858131487889,0.000809688581314878892733564013840830449826989619377162629757,0.000809688581314878892733564013840830449826989619377162629758,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
27/2000,0.0135,1/10,3098/4223,0.73360170494908833,0.733601704949088325834714657826189912384560738811271607861709,0.733601704949088325834714657826189912384560738811271607861710,0.73444877207427061,0.734448772074270612154011389674682515537640692727073668919423,0.734448772074270612154011389674682515537640692727073668919424,0.00084706712518228632,0.000847067125182286319296731848492603153079953915802061057714,0.000847067125182286319296731848492603153079953915802061057715,18/289,0.00084083044982698962,0.000840830449826989619377162629757785467128027681660899653979,0.000840830449826989619377162629757785467128027681660899653980,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
