measured,mask_probability_exact,mask_probability_plot,block_contribution_plot,lower,upper,included_in_main_rate,display_in_main_figure,all_measured,unit
0,6561/100000000,0.00006561,0.00006561,0.00006561,0.00006561,True,False,False,"bits per eight-use block, not divided by eight"
1,15309/12500000,0.00122472,0.00045451417998716035,0.00045451417998716035038131700199630441934465179095558288644557325957172433935642816399763341594421331541445770191688473805031275367902467673108,0.00045451417998716035038131700199630441934465179095558288644557325957172433935642816399763341594421331541445770191688473805031275367902467673432,True,False,False,"bits per eight-use block, not divided by eight"
2,250047/25000000,0.01000188,0.0016268389118601920,0.0016268389118601919526933128515208502578373208853301376816403658184480414335755255539448220753855394775726727720928432372329536606127854870571,0.0016268389118601919526933128515208502578373208853301376816403658184480414335755255539448220753855394775726727720928432372329536606127854870798,True,False,False,"bits per eight-use block, not divided by eight"
3,583443/12500000,0.04667544,0.0034464479402048916,0.0034464479402048916299013925973544361597942689934920759951354130677235322979217258604826749914497616464333187239519693389888011254533806633228,0.0034464479402048916299013925973544361597942689934920759951354130677235322979217258604826749914497616464333187239519693389888011254533806635927,True,False,False,"bits per eight-use block, not divided by eight"
4,1361367/10000000,0.1361367,0.0046352330128001869,0.0046352330128001869482769876336086483293694892238739901750286191291558899783818203842109386224495790678824515126974946807130896785583621189841,0.0046352330128001869482769876336086483293694892238739901750286191291558899783818203842109386224495790678824515126974946807130896785583621194934,True,False,False,"bits per eight-use block, not divided by eight"
5,3176523/12500000,0.25412184,0.0040229712907287529,0.0040229712907287528901001591918034038500079916553091557482908542670877602620221139400865558743778075662439697005600374172967834692211699969007,0.0040229712907287528901001591918034038500079916553091557482908542670877602620221139400865558743778075662439697005600374172967834692211699987966,True,False,False,"bits per eight-use block, not divided by eight"
6,7411887/25000000,0.29647548,0.0021929515688694832,0.0021929515688694832407650756848769562270054518734010443214360168586691442279254087999965573213698566552465120420765035511708268482913837916398,0.0021929515688694832407650756848769562270054518734010443214360168586691442279254087999965573213698566552465120420765035511708268482913837928910,True,False,False,"bits per eight-use block, not divided by eight"
7,2470629/12500000,0.19765032,0.00068523700909145975,0.00068523700909145975390817142590019373449656337201383006485725744272512941667829058586025788443738697602915732007617809929405621214084039992261,0.00068523700909145975390817142590019373449656337201383006485725744272512941667829058586025788443738697602915732007617809929405621214084040141883,True,False,False,"bits per eight-use block, not divided by eight"
8,5764801/100000000,0.05764801,-0.016531605786489650,-0.016531605786489649669213165448966563182886498809741726807855955251677156108889298417733939679390779701578423104553846331539907816927259175305,-0.016531605786489649669213165448966563182886498809741726807855955251677156108889298417733939679390779701578423104553846331539907816927259175168,True,False,True,"bits per eight-use block, not divided by eight"
