object,plot_label,value_plot,lower,upper,quantity,status,source,unit
optimized_single_use,Best one-use input,0,0,0,Q^(1),exact_global_optimum_from_canonical_proof,MODEL_AND_CLAIMS.md#m05; COMPLETE_PROOF.md#p13,bits of coherent information per physical channel use
balanced_eight_use,Eight-use construction / 8,0.000074774765881559637,0.000074774765881559637101656367261778724371154873079261258122268073963008230871501858855687563252920625405514583602258091400864491378710994906375,0.000074774765881559637101656367261778724371154873079261258122268073963008230871501858855687563252920625405514583602258091400864491378710995605000,I_8/8,stored_certified_construction_value_not_globally_optimized_block_value,canonical source W1; COMPLETE_PROOF.md#p13,bits of coherent information per physical channel use
