epsilon_exact,epsilon,a_exact,c_exact,lambda_min_exact,loss_L,p_cert,p_cert_lower,p_cert_upper,p_rep,p_rep_lower,p_rep_upper,certified_width,certified_width_lower,certified_width_upper,theorem_applies,endpoint_kind,lower_p_endpoint_included,upper_p_endpoint_included,ensemble,exact_capacity_boundary
3/500,0.006,61009/62500,1491/62500,1/3,0.029044803934926887,0.97114708069302450,0.971147080693024497294998811175563729717841789558401882808400,0.971147080693024497294998811175563729717841789558401882808401,0.97177498606099217,0.971774986060992173593486446759589021712229762967181069486829,0.971774986060992173593486446759589021712229762967181069486830,0.00062790536796767630,0.000627905367967676298487635584025291994387973408779186678429,0.000627905367967676298487635584025291994387973408779186678430,True,interior,True,False,equally_weighted_Pauli_axes,False
13/2000,0.0065,974169/1000000,25831/1000000,1/3,0.031434042823703491,0.96884860369612440,0.968848603696124398154115439320126195483792205900094706909597,0.968848603696124398154115439320126195483792205900094706909598,0.96952394286148619,0.969523942861486186403396473123234835681671978512638953089070,0.969523942861486186403396473123234835681671978512638953089071,0.00067533916536178825,0.000675339165361788249281033803108640197879772612544246179472,0.000675339165361788249281033803108640197879772612544246179473,True,interior,True,False,equally_weighted_Pauli_axes,False
7/1000,0.007,243049/250000,6951/250000,1/3,0.033818545062568101,0.96656566476299455,0.966565664762994548229394625244183651732709729645179529361845,0.966565664762994548229394625244183651732709729645179529361846,0.96728773610796336,0.967287736107963359162612466541186274943192317308553867989910,0.967287736107963359162612466541186274943192317308553867989911,0.00072207134496881093,0.000722071344968810933217841297002623210482587663374338628065,0.000722071344968810933217841297002623210482587663374338628066,True,interior,True,False,equally_weighted_Pauli_axes,False
3/400,0.0075,38809/40000,1191/40000,1/3,0.036198322748329353,0.96429810932412116,0.964298109324121162361789701023321069210391167869910425631731,0.964298109324121162361789701023321069210391167869910425631732,0.96506622144270623,0.965066221442706233765308734361829838391869144675400073621307,0.965066221442706233765308734361829838391869144675400073621308,0.00076811211858507140,0.000768112118585071403519033338508769181477976805489647989575,0.000768112118585071403519033338508769181477976805489647989576,True,interior,True,False,equally_weighted_Pauli_axes,False
1/125,0.008,15129/15625,496/15625,1/3,0.038573387923622368,0.96204578486523424,0.962045784865234237903302395496047825702945227865562599741967,0.962045784865234237903302395496047825702945227865562599741968,0.96285925638751386,0.962859256387513859882217779640236885521578240271523598322921,0.962859256387513859882217779640236885521578240271523598322922,0.00081347152227962198,0.000813471522279621978915384144189059818633012405960998580954,0.000813471522279621978915384144189059818633012405960998580955,True,interior,True,False,equally_weighted_Pauli_axes,False
17/2000,0.0085,966289/1000000,33711/1000000,1/3,0.040943752577220779,0.95980854089324768,0.959808540893247684165146257190734378539532233652922995186298,0.959808540893247684165146257190734378539532233652922995186299,0.96066670031320119,0.960666700313201187166877476057595995892683679400518380386752,0.960666700313201187166877476057595995892683679400518380386753,0.00085815941995350300,0.000858159419953503001731218866861617353151445747595385200454,0.000858159419953503001731218866861617353151445747595385200455,True,interior,True,False,equally_weighted_Pauli_axes,False
9/1000,0.009,241081/250000,8919/250000,1/3,0.043309428644346528,0.95758622890287473,0.957586228902874730905078558902765099397754776033100956510034,0.957586228902874730905078558902765099397754776033100956510035,0.95848841440969066,0.958488414409690657610366261298328144825164609208480428587249,0.958488414409690657610366261298328144825164609208480428587250,0.00090218550681592671,0.000902185506815926705287702395563045427409833175379472077214,0.000902185506815926705287702395563045427409833175379472077215,True,interior,True,False,equally_weighted_Pauli_axes,False
19/2000,0.0095,962361/1000000,37639/1000000,1/3,0.045670428006977434,0.95537870234390305,0.955378702343903046817672151696279474658869920511824829345502,0.955378702343903046817672151696279474658869920511824829345503,0.95632426165668263,0.956324261656682625987994438682069389175433439684510299784780,0.956324261656682625987994438682069389175433439684510299784781,0.00094555931277957917,0.000945559312779579170322286985789914516563519172685470439278,0.000945559312779579170322286985789914516563519172685470439279,True,interior,True,False,equally_weighted_Pauli_axes,False
1/100,0.01,2401/2500,99/2500,1/3,0.048026762494152561,0.95318581658911441,0.953185816589114407887342481087310144153314151154294991587121,0.953185816589114407887342481087310144153314151154294991587122,0.95417410679489158,0.954174106794891580319625305533294176629397244189805625624171,0.954174106794891580319625305533294176629397244189805625624172,0.00098829020577717243,0.000988290205777172432282824445984032476083093035510634037049,0.000988290205777172432282824445984032476083093035510634037050,True,interior,True,False,equally_weighted_Pauli_axes,False
21/2000,0.0105,958441/1000000,41559/1000000,1/3,0.050378443882275412,0.95100742890283415,0.951007428902834152318065425796936860342504653255388012188355,0.951007428902834152318065425796936860342504653255388012188356,0.95203781629783547,0.952037816297835468320917552048324795001955302581254539664379,0.952037816297835468320917552048324795001955302581254539664380,0.0010303873950013160,0.001030387395001316002852126251387934659450649325866527476023,0.001030387395001316002852126251387934659450649325866527476024,True,interior,True,False,equally_weighted_Pauli_axes,False
