n,p,epsilon,rate_lower,rate_upper,one_use_zero_sufficient_p_upper,repetition_boundary_lower
8,7/10,1/10,0.0000747747658815596371016563672617787243711548730792612581222680739630082308715018588556875632529206,0.0000747747658815596371016563672617787243711548730792612581222680739630082308715018588556875632529207,0.6860465116279069767441860465116279069767441860465116279069767441860465116279069767441860465116279070,0.7112937814088854037117927056529579157284866739382104019230612508520032918300469207490927592359161248
16,59/100,1/5,0.0000003916576675312460971951219367268685176397411751534647425988209997282835481249531121936401168675,0.0000003916576675312460971951219367268685176397411751534647425988209997282835481249531121936401168676,0.5809488342652806088834568675328090157012716105530201605790912852246474300533885472062849108421077367,0.5944446912045089647440462276069479508603460262825205024202171725123742495909551778279957561737297590
48,67/125,3/10,0.0000000000000000346043465472427662652914369954548757320257179404267063692415767269526059242837402460,0.0000000000000000346043465472427662652914369954548757320257179404267063692415767269526059242837402461,0.5321073398596993854049546293781281100609800119709678148788177892831776844159739679126844037142148024,0.5366713505989501311505780502543581674180008595434734702436449654839410520978022888557767719218543166
64,2539/5000,2/5,0.0000000000000000000000851211939757070974150023797493096950204935499403073142589031375001455636983071,0.0000000000000000000000851211939757070974150023797493096950204935499403073142589031375001455636983072,0.5076167528277745535766497723147999668367883976580950853731783949473404065924098349194583584678076441,0.5085267943429445383621481513534906817365360699856583560091117915453097625879551111378665052596865911
