lambda_exact,axis,weight_exact,nx,nx_lower,nx_upper,ny,ny_lower,ny_upper,nz,nz_lower,nz_upper,opposite_axis_endpoint,frame_xx_exact,frame_yy_exact,frame_zz_exact,frame_off_diagonal_exact,code_direction,mode
0,0,1/3,1,1.000000000000000000000000000000000000000000000000000000000000,1.000000000000000000000000000000000000000000000000000000000000,0,0.000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000,0,0.000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000,negative_of_all_three_components,1/2,1/2,0,0,"(0,0,1); guide only, not a fourth measurement axis",coplanar
0,1,1/3,-0.5,-0.500000000000000000000000000000000000000000000000000000000000,-0.500000000000000000000000000000000000000000000000000000000000,0.86602540378443865,0.866025403784438646763723170752936183471402626905190314027903,0.866025403784438646763723170752936183471402626905190314027904,0,0.000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000,negative_of_all_three_components,1/2,1/2,0,0,"(0,0,1); guide only, not a fourth measurement axis",coplanar
0,2,1/3,-0.5,-0.500000000000000000000000000000000000000000000000000000000000,-0.500000000000000000000000000000000000000000000000000000000000,-0.86602540378443865,-0.866025403784438646763723170752936183471402626905190314027904,-0.866025403784438646763723170752936183471402626905190314027903,0,0.000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000,negative_of_all_three_components,1/2,1/2,0,0,"(0,0,1); guide only, not a fourth measurement axis",coplanar
1/16,0,1/3,0.96824583655185422,0.968245836551854221294816349945599902708230426322897706646893,0.968245836551854221294816349945599902708230426322897706646894,0,0.000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000,0.25,0.250000000000000000000000000000000000000000000000000000000000,0.250000000000000000000000000000000000000000000000000000000000,negative_of_all_three_components,15/32,15/32,1/16,0,"(0,0,1); guide only, not a fourth measurement axis",full_span
1/16,1,1/3,-0.48412291827592711,-0.484122918275927110647408174972799951354115213161448853323447,-0.484122918275927110647408174972799951354115213161448853323446,0.83852549156242114,0.838525491562421136153440125774228588290231884854322146601586,0.838525491562421136153440125774228588290231884854322146601587,0.25,0.250000000000000000000000000000000000000000000000000000000000,0.250000000000000000000000000000000000000000000000000000000000,negative_of_all_three_components,15/32,15/32,1/16,0,"(0,0,1); guide only, not a fourth measurement axis",full_span
1/16,2,1/3,-0.48412291827592711,-0.484122918275927110647408174972799951354115213161448853323447,-0.484122918275927110647408174972799951354115213161448853323446,-0.83852549156242114,-0.838525491562421136153440125774228588290231884854322146601587,-0.838525491562421136153440125774228588290231884854322146601586,0.25,0.250000000000000000000000000000000000000000000000000000000000,0.250000000000000000000000000000000000000000000000000000000000,negative_of_all_three_components,15/32,15/32,1/16,0,"(0,0,1); guide only, not a fourth measurement axis",full_span
1/4,0,1/3,0.86602540378443865,0.866025403784438646763723170752936183471402626905190314027903,0.866025403784438646763723170752936183471402626905190314027904,0,0.000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000,0.5,0.500000000000000000000000000000000000000000000000000000000000,0.500000000000000000000000000000000000000000000000000000000000,negative_of_all_three_components,3/8,3/8,1/4,0,"(0,0,1); guide only, not a fourth measurement axis",full_span
1/4,1,1/3,-0.43301270189221932,-0.433012701892219323381861585376468091735701313452595157013952,-0.433012701892219323381861585376468091735701313452595157013951,0.75000000000000000,0.749999999999999999999999999999999999999999999999999999999999,0.750000000000000000000000000000000000000000000000000000000001,0.5,0.500000000000000000000000000000000000000000000000000000000000,0.500000000000000000000000000000000000000000000000000000000000,negative_of_all_three_components,3/8,3/8,1/4,0,"(0,0,1); guide only, not a fourth measurement axis",full_span
1/4,2,1/3,-0.43301270189221932,-0.433012701892219323381861585376468091735701313452595157013952,-0.433012701892219323381861585376468091735701313452595157013951,-0.75000000000000000,-0.750000000000000000000000000000000000000000000000000000000001,-0.749999999999999999999999999999999999999999999999999999999999,0.5,0.500000000000000000000000000000000000000000000000000000000000,0.500000000000000000000000000000000000000000000000000000000000,negative_of_all_three_components,3/8,3/8,1/4,0,"(0,0,1); guide only, not a fourth measurement axis",full_span
